#,Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz
0.807,-108137,0.0000000000000129109,-542.779,1.06641E-034,-2.52839E-018,-7.25924E-036,-54.2697,9.8912E-016,-25.2152,
0.808,-108272,0.0000000000000127942,-16.2056,1.37358E-035,3.67666E-019,3.20326E-036,-54.3594,9.89172E-016,-25.422,
0.809,-108405,0.0000000000000126765,511.347,-8.29648E-035,3.67666E-019,1.28905E-035,-54.4501,9.89223E-016,-25.6281,
0.81,-108535,0.0000000000000125578,1039.86,-1.85882E-035,-2.52839E-018,-4.13113E-036,-54.5417,9.89275E-016,-25.8336,
0.811,-108663,0.000000000000012438,1569.31,6.77646E-035,-2.52839E-018,-1.8479E-035,-54.6342,9.89327E-016,-26.0383,
0.812,-108788,0.0000000000000123173,2099.69,9.98802E-035,-2.52839E-018,-1.95368E-035,-54.7275,9.89378E-016,-26.2423,
0.813,-108910,0.0000000000000121956,2630.96,5.11239E-035,-2.52839E-018,-1.34452E-035,-54.8218,9.8943E-016,-26.4456,
0.814,-109030,0.000000000000012073,3163.12,-1.03418E-034,3.67666E-019,2.42153E-035,-54.9169,9.89481E-016,-26.6482,
0.815,-109147,0.0000000000000119493,3696.14,-5.59958E-035,3.67666E-019,1.90927E-035,-55.0129,9.89533E-016,-26.8501,
0.816,-109262,0.0000000000000118247,4230,-4.26351E-035,3.67666E-019,1.60252E-035,-55.1098,9.89584E-016,-27.0513,
0.817,-109374,0.0000000000000116991,4764.69,1.29306E-035,-2.52839E-018,8.8848E-036,-55.2076,9.89636E-016,-27.2517,
0.818,-109484,0.0000000000000115726,5300.18,8.13805E-036,3.67666E-019,-2.32655E-036,-55.3062,9.89687E-016,-27.4514,
0.819,-109591,0.0000000000000114451,5836.46,7.79194E-036,-2.52839E-018,1.35047E-037,-55.4056,9.89739E-016,-27.6504,
0.82,-109695,0.0000000000000113167,6373.5,-8.45714E-036,-2.52839E-018,5.3319E-036,-55.5059,9.8979E-016,-27.8486,
0.821,-109797,0.0000000000000111874,6911.29,-6.55394E-036,-2.52839E-018,7.9071E-036,-55.607,9.89841E-016,-28.0461,
0.822,-109896,0.0000000000000110571,7449.81,-4.61873E-035,3.67666E-019,2.95975E-035,-55.709,9.89892E-016,-28.2428,
0.823,-109992,0.0000000000000109259,7989.03,9.63829E-035,-2.52839E-018,-3.78567E-035,-55.8117,9.89943E-016,-28.4388,
0.824,-110086,0.0000000000000107938,8528.94,8.67161E-035,-2.52839E-018,-3.27965E-035,-55.9153,9.89995E-016,-28.634,
