x beta x y z
13.6 9.7954415198 6.5485369864 1.8968221604 7.0514630136
13.7 9.8674668251 6.5526248795 1.8688579737 7.1473751205
13.8 9.9394921304 6.5582547823 1.8362937633 7.2417452177
13.9 10.0115174357 6.5656567715 1.7992983878 7.3343432285
14 10.083542741 6.575051735 1.758063683 7.424948265
14.1 10.1555680463 6.5866502262 1.7128034676 7.5133497738
14.2 10.2275933515 6.6006513725 1.6637524338 7.5993486275
14.3 10.2996186568 6.6172418423 1.6111649311 7.6827581577
14.4 10.3716439621 6.6365948774 1.5553136469 7.7634051226
14.5 10.4436692674 6.6588693949 1.4964881925 7.8411306051
14.6 10.5156945727 6.6842091624 1.4349936015 7.9157908376
14.7 10.587719878 6.7127420531 1.3711487482 7.9872579469
14.8 10.6597451833 6.7445793827 1.3052846938 8.0554206173
14.9 10.7317704886 6.7798153319 1.2377429699 8.1201846681
15 10.8037957939 6.8185264582 1.1688738076 8.1814735418
15.1 10.8758210992 6.8607712991 1.0990343211 8.2392287009
15.2 10.9478464045 6.9065900681 1.0285866564 8.2934099319
15.3 11.0198717098 6.9560044466 0.9578961128 8.3439955534
15.4 11.0918970151 7.0090174712 0.8873292493 8.3909825288
15.5 11.1639223203 7.0656135183 0.8172519835 8.4343864817
15.6 11.2359476256 7.1257583847 0.7480276942 8.4742416153
15.7 11.3079729309 7.1893994651 0.6800153372 8.5106005349
15.8 11.3799982362 7.2564660251 0.613567584 8.5435339749
15.9 11.4520235415 7.3268695676 0.5490289927 8.5731304324
16 11.5240488468 7.4005042922 0.4867342221 8.5994957078
16.1 11.5960741521 7.4772476432 0.4270062956 8.6227523568
16.2 11.6680994574 7.5569609457 0.3701549265 8.6430390543
16.3 11.7401247627 7.6394901241 0.316474912 8.6605098759
16.4 11.812150068 7.7246665017 0.2662446046 8.6753334983
16.5 11.8841753733 7.8123076747 0.2197244687 8.6876923253
16.6 11.9562006786 7.9022184585 0.1771557299 8.6977815415
16.7 12.0282259839 7.9941918996 0.1387591241 8.7058081004
16.8 12.1002512892 8.0880103489 0.1047337534 8.7119896511
16.9 12.1722765944 8.1834465901 0.0752560528 8.7165534099
17 12.2443018997 8.280265018 0.0504788762 8.719734982
17.1 12.316327205 8.3782228601 0.0305307031 8.7217771399
17.2 12.3883525103 8.4770714358 0.015514973 8.7229285642
17.3 12.4603778156 8.5765574456 0.0055095483 8.7234425544
17.4 12.5324031209 8.6764242846 0.0005663112 8.7235757154
17.5 12.6044284262 8.7764133732 0.0007108944 8.7235866268
17.6 12.6764537315 8.8762654978 0.0059425482 8.7237345022
17.7 12.7484790368 8.9757221551 0.0162341444 8.7242778449
17.8 12.8205043421 9.0745268924 0.0315323169 8.7254731076
17.9 12.8925296474 9.1724266376 0.0517577384 8.7275733624
18 12.9645549527 9.2691730112 0.0768055321 8.7308269888
18.1 13.036580258 9.3645236144 0.1065458151 8.7354763856
18.2 13.1086055632 9.4582432861 0.140824372 8.7417567139
18.3 13.1806308685 9.5501053223 0.1794634548 8.7498946777
18.4 13.2526561738 9.6398926513 0.2222627041 8.7601073487
18.5 13.3246814791 9.72739896 0.2690001888 8.77260104
18.6 13.3967067844 9.812429763 0.3194335562 8.787570237
18.7 13.4687320897 9.8948034115 0.3733012888 8.8051965885
18.8 13.540757395 9.9743520351 0.430324061 8.8256479649
18.9 13.6127827003 10.0509224123 0.4902061866 8.8490775877
19 13.6848080056 10.124376765 0.5526371527 8.875623235
19.1 13.7568333109 10.194593473 0.6172932297 8.905406527
19.2 13.8288586162 10.2614677044 0.6838391498 8.9385322956
19.3 13.9008839215 10.3249119597 0.7519298456 8.9750880403
19.4 13.9729092268 10.3848565249 0.8212122395 9.0151434751
19.5 14.0449345321 10.4412498334 0.8913270743 9.0587501666
19.6 14.1169598373 10.4940587335 0.9619107765 9.1059412665
19.7 14.1889851426 10.5432686598 1.0325973412 9.1567313402
19.8 14.2610104479 10.5888837091 1.10302023 9.2111162909
19.9 14.3330357532 10.6309266192 1.172814272 9.2690733808
20 14.4050610585 10.6694386508 1.2416175569 9.3305613492
